epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1975,1.42581,0.53115,0.58046,1.09471,1.07732,0.48458,0.42132,0.39826,0.12363,0.05749,0.04975,0.00958,0.00438,2.66078,0.75216,0.6314,3.07258,1.60975,0.08739,0.00039,0.00039
2,26.4562,1.36388,0.65042,0.24803,0.82889,1.03882,0.61465,0.36345,0.41089,0.1626,0.06905,0.0467,0.01734,0.00469,2.26548,0.95878,0.25329,2.07741,1.40504,0.073802,0.000801981,0.000801981
3,35.1496,1.35935,0.61752,0.21148,0.83159,1.03794,0.15873,0.47411,0.12973,0.0665,0.03871,0.05178,0.01294,0.00443,1.75793,0.86504,0.29061,5.69642,1.27808,0.0602056,0.00120565,0.00120565
4,43.8796,1.32583,0.59369,0.21725,0.7889,1.02233,0.37545,0.40508,0.28146,0.14124,0.06774,0.03553,0.01257,0.0053,1.76956,1.01416,0.3318,2.76182,1.27618,0.046601,0.00160099,0.00160099
5,53.0211,1.33483,0.63008,0.18246,0.77988,1.00349,0.56441,0.30254,0.3634,0.1867,0.04444,0.02132,0.00844,0.00425,1.90777,1.16879,0.36203,1.7162,1.35346,0.032988,0.00198803,0.00198803
6,61.7401,1.36911,0.63277,0.17117,0.79897,1.02866,0.2786,0.1797,0.18006,0.09207,0.10241,0.01726,0.00835,0.0027,2.26508,1.36614,0.31162,2.70874,1.54649,0.0193667,0.00236675,0.00236675
7,70.1141,1.28115,0.60976,0.1742,0.77633,1.0086,0.38933,0.15025,0.15754,0.07643,0.1272,0.0203,0.01023,0.00448,2.23005,1.09675,0.287,2.62341,1.55695,0.00573715,0.00273715,0.00273715
8,78.9087,1.314,0.63685,0.15209,0.77923,1.01739,0.5822,0.32893,0.40991,0.24785,0.17493,0.05076,0.01821,0.00841,1.5263,0.77422,0.3919,1.65137,1.15304,0.0027921,0.0027921,0.0027921
9,87.2574,1.25669,0.5868,0.15426,0.75274,0.99615,0.75045,0.5923,0.67966,0.41129,0.14315,0.06396,0.0249,0.00922,1.29674,0.64303,0.32715,0.96629,1.03548,0.0027624,0.0027624,0.0027624
10,95.7696,1.27013,0.54131,0.1611,0.72347,0.99477,0.86502,0.66362,0.76715,0.467,0.2077,0.09036,0.03715,0.01479,1.23221,0.4419,0.10724,1.02766,1.02019,0.0027327,0.0027327,0.0027327
11,103.848,1.23262,0.56722,0.14383,0.70979,0.98737,0.8276,0.69694,0.77539,0.47461,0.21194,0.09137,0.0376,0.01424,1.23424,0.48433,0.12292,0.88018,1.00863,0.002703,0.002703,0.002703
12,112.328,1.22072,0.56527,0.14131,0.70312,0.97409,0.82594,0.67442,0.77367,0.48677,0.25171,0.08731,0.05034,0.02541,1.15539,0.41456,0.11076,0.89981,0.98497,0.0026733,0.0026733,0.0026733
13,120.321,1.19927,0.50974,0.13161,0.69547,0.97416,0.85012,0.66796,0.76829,0.47714,0.26161,0.09543,0.04274,0.02262,1.16158,0.3605,0.09637,0.93277,0.98798,0.0026436,0.0026436,0.0026436
14,128.346,1.19552,0.51806,0.13347,0.69325,0.97612,0.87269,0.73072,0.80479,0.49203,0.22702,0.0934,0.03069,0.01539,1.15462,0.36717,0.10553,0.80761,0.9817,0.0026139,0.0026139,0.0026139
15,136.429,1.1534,0.51078,0.11887,0.67748,0.97092,0.8894,0.7198,0.80078,0.49614,0.24615,0.08934,0.04177,0.01837,1.1587,0.43357,0.10235,0.76946,0.97813,0.0025842,0.0025842,0.0025842
16,144.835,1.1347,0.56288,0.12803,0.65684,0.95358,0.93051,0.70695,0.80205,0.51653,0.20429,0.09442,0.04448,0.01916,1.10078,0.40738,0.096,0.67515,0.95837,0.0025545,0.0025545,0.0025545
17,152.999,1.14653,0.5109,0.12781,0.65806,0.95566,0.88538,0.73096,0.82723,0.51572,0.20934,0.09746,0.03232,0.01409,1.15312,0.40795,0.08853,0.68218,0.97925,0.0025248,0.0025248,0.0025248
18,161.223,1.12491,0.48575,0.12441,0.6522,0.95772,0.89295,0.72829,0.82842,0.52991,0.26491,0.10051,0.04704,0.02425,1.10633,0.3513,0.11813,0.63992,0.96463,0.0024951,0.0024951,0.0024951
19,169.869,1.10508,0.47535,0.12447,0.64769,0.94687,0.93024,0.7311,0.82316,0.54079,0.23674,0.09793,0.03889,0.02264,1.07283,0.32089,0.10819,0.62895,0.94972,0.0024654,0.0024654,0.0024654
20,178.125,1.12171,0.45848,0.09448,0.63955,0.94595,0.92268,0.72694,0.80504,0.50985,0.25896,0.09848,0.04626,0.02508,1.12768,0.35739,0.09492,0.65006,0.95515,0.0024357,0.0024357,0.0024357
21,186.526,1.11375,0.45604,0.12472,0.63538,0.93812,0.90683,0.75098,0.84253,0.54082,0.25974,0.09848,0.04362,0.02442,1.05538,0.32272,0.10881,0.63053,0.94813,0.002406,0.002406,0.002406
22,194.536,1.06748,0.49448,0.1237,0.62255,0.9444,0.92741,0.73503,0.84369,0.54738,0.28334,0.10152,0.05115,0.02929,1.05748,0.3002,0.08778,0.61725,0.95203,0.0023763,0.0023763,0.0023763
23,202.828,1.08608,0.41498,0.10159,0.61343,0.93155,0.93277,0.74651,0.84465,0.54585,0.25639,0.10051,0.0482,0.02741,1.04097,0.30308,0.08599,0.63837,0.94643,0.0023466,0.0023466,0.0023466
24,210.906,1.02124,0.43955,0.11993,0.60014,0.92874,0.93502,0.74504,0.84066,0.56624,0.28413,0.10152,0.0451,0.02404,0.99031,0.32976,0.11481,0.59671,0.92099,0.0023169,0.0023169,0.0023169
25,219.21,1.00568,0.40713,0.10281,0.59366,0.92944,0.93225,0.74037,0.84807,0.56523,0.27834,0.10051,0.0455,0.02651,0.98637,0.30013,0.10413,0.58409,0.92813,0.0022872,0.0022872,0.0022872
26,227.564,1.04057,0.43946,0.10447,0.60971,0.938,0.90519,0.76572,0.84746,0.56224,0.32787,0.09905,0.0731,0.04096,0.99465,0.29048,0.10931,0.58897,0.9227,0.0022575,0.0022575,0.0022575
27,235.873,1.05226,0.42817,0.11282,0.60424,0.93193,0.87925,0.74416,0.83712,0.55616,0.30241,0.09949,0.07291,0.04365,1.01903,0.2943,0.10911,0.60484,0.93285,0.0022278,0.0022278,0.0022278
28,243.776,1.00651,0.41167,0.11471,0.58606,0.92296,0.87806,0.75296,0.83838,0.5475,0.35324,0.09949,0.05928,0.02983,1.0422,0.34896,0.10281,0.61994,0.93996,0.0021981,0.0021981,0.0021981
29,251.841,1.01178,0.42952,0.11832,0.59207,0.92251,0.90025,0.75838,0.84274,0.55646,0.32384,0.10051,0.05354,0.03028,0.99599,0.3113,0.09902,0.59799,0.92674,0.0021684,0.0021684,0.0021684
30,259.658,1.02392,0.39094,0.10047,0.58457,0.92174,0.92616,0.74721,0.85909,0.56863,0.26899,0.10152,0.04982,0.02945,0.98888,0.26567,0.08899,0.56213,0.92363,0.0021387,0.0021387,0.0021387
31,267.576,1.00831,0.42709,0.10166,0.58729,0.91892,0.93245,0.74279,0.8605,0.5754,0.28071,0.10152,0.04652,0.02664,0.98674,0.28221,0.08704,0.56441,0.92224,0.002109,0.002109,0.002109
